Updated at 14:42:39,LSEG Data Stream,PAR_MID1,DEFLT_PROB,RECOV_RATE,,,,CBSL m2b survey,,
,Timestamp,PAR_MID1,DEFLT_PROB,RECOV_RATE,expected_loss,GDP_growth_rate_annual_pct,,sovereign_exposure_tn_rs_annual,total_local_debt_tn_rs_annual,gamma
,01/01/2025,3217.73,77.655,40,0.46593,,,10.7,30.795,0.347459003
,31/12/2024,3214.87,77.653,40,0.465918,5.00871931,,9.5,28.344,0.335167937
,30/12/2024,3217.57,77.712,40,0.466272,5.00871931,,9.5,28.344,0.335167937
,27/12/2024,3212.28,77.711,40,0.466266,5.00871931,,9.5,28.344,0.335167937
,26/12/2024,3210.95,77.745,40,0.46647,5.00871931,,9.5,28.344,0.335167937
,25/12/2024,3206.65,77.722,40,0.466332,5.00871931,,9.5,28.344,0.335167937
,24/12/2024,3207.02,77.753,40,0.466518,5.00871931,,9.5,28.344,0.335167937
,23/12/2024,3202.55,77.729,40,0.466374,5.00871931,,9.5,28.344,0.335167937
,20/12/2024,3196.37,77.788,40,0.466728,5.00871931,,9.5,28.344,0.335167937
,19/12/2024,3198.01,77.804,40,0.466824,5.00871931,,9.5,28.344,0.335167937
,18/12/2024,3190.79,77.757,40,0.466542,5.00871931,,9.5,28.344,0.335167937
,17/12/2024,3191.89,77.867,40,0.467202,5.00871931,,9.5,28.344,0.335167937
,16/12/2024,3186.43,77.843,40,0.467058,5.00871931,,9.5,28.344,0.335167937
,13/12/2024,3178.68,77.863,40,0.467178,5.00871931,,9.5,28.344,0.335167937
,12/12/2024,3175.24,77.886,40,0.467316,5.00871931,,9.5,28.344,0.335167937
,11/12/2024,3172.02,77.9,40,0.4674,5.00871931,,9.5,28.344,0.335167937
,10/12/2024,3170.71,77.931,40,0.467586,5.00871931,,9.5,28.344,0.335167937
,09/12/2024,3166.87,77.933,40,0.467598,5.00871931,,9.5,28.344,0.335167937
,06/12/2024,3163.78,78.019,40,0.468114,5.00871931,,9.5,28.344,0.335167937
,05/12/2024,3161.55,77.997,40,0.467982,5.00871931,,9.5,28.344,0.335167937
,04/12/2024,3161.97,78.036,40,0.468216,5.00871931,,9.5,28.344,0.335167937
,03/12/2024,3161.31,78.018,40,0.468108,5.00871931,,9.5,28.344,0.335167937
,02/12/2024,3160.74,78.048,40,0.468288,5.00871931,,9.5,28.344,0.335167937
,29/11/2024,3153.59,78.087,40,0.468522,5.00871931,,9.5,28.344,0.335167937
,28/11/2024,3153.03,78.075,40,0.46845,5.00871931,,9.5,28.344,0.335167937
,27/11/2024,3152.08,78.097,40,0.468582,5.00871931,,9.5,28.344,0.335167937
,26/11/2024,3151.53,78.081,40,0.468486,5.00871931,,9.5,28.344,0.335167937
,25/11/2024,3155.38,78.169,40,0.469014,5.00871931,,9.5,28.344,0.335167937
,22/11/2024,3148.69,78.129,40,0.468774,5.00871931,,9.5,28.344,0.335167937
,21/11/2024,3146.7,78.138,40,0.468828,5.00871931,,9.5,28.344,0.335167937
,20/11/2024,3145.25,78.168,40,0.469008,5.00871931,,9.5,28.344,0.335167937
,19/11/2024,3140.76,78.17,40,0.46902,5.00871931,,9.5,28.344,0.335167937
,18/11/2024,3143.76,78.228,40,0.469368,5.00871931,,9.5,28.344,0.335167937
,15/11/2024,3137.28,78.24,40,0.46944,5.00871931,,9.5,28.344,0.335167937
,14/11/2024,3133.94,78.227,40,0.469362,5.00871931,,9.5,28.344,0.335167937
,13/11/2024,3134.91,78.277,40,0.469662,5.00871931,,9.5,28.344,0.335167937
,12/11/2024,3132.84,78.321,40,0.469926,5.00871931,,9.5,28.344,0.335167937
,11/11/2024,3129.29,78.31,40,0.46986,5.00871931,,9.5,28.344,0.335167937
,08/11/2024,3117.37,78.282,40,0.469692,5.00871931,,9.5,28.344,0.335167937
,07/11/2024,3120.44,78.365,40,0.47019,5.00871931,,9.5,28.344,0.335167937
,06/11/2024,3117.32,78.3,40,0.4698,5.00871931,,9.5,28.344,0.335167937
,05/11/2024,3114.19,78.357,40,0.470142,5.00871931,,9.5,28.344,0.335167937
,04/11/2024,3110.12,78.352,40,0.470112,5.00871931,,9.5,28.344,0.335167937
,01/11/2024,3100.05,78.305,40,0.46983,5.00871931,,9.5,28.344,0.335167937
,31/10/2024,3104.86,78.414,40,0.470484,5.00871931,,9.5,28.344,0.335167937
,30/10/2024,3097.36,78.353,40,0.470118,5.00871931,,9.5,28.344,0.335167937
,29/10/2024,3101.38,78.468,40,0.470808,5.00871931,,9.5,28.344,0.335167937
,28/10/2024,3098.08,78.433,40,0.470598,5.00871931,,9.5,28.344,0.335167937
,25/10/2024,3088.35,78.444,40,0.470664,5.00871931,,9.5,28.344,0.335167937
,24/10/2024,3088.16,78.482,40,0.470892,5.00871931,,9.5,28.344,0.335167937
,23/10/2024,3087.01,78.484,40,0.470904,5.00871931,,9.5,28.344,0.335167937
,22/10/2024,3086.51,78.525,40,0.47115,5.00871931,,9.5,28.344,0.335167937
,21/10/2024,3081.63,78.508,40,0.471048,5.00871931,,9.5,28.344,0.335167937
,18/10/2024,3073.93,78.579,40,0.471474,5.00871931,,9.5,28.344,0.335167937
,17/10/2024,3070.25,78.553,40,0.471318,5.00871931,,9.5,28.344,0.335167937
,16/10/2024,3067.26,78.578,40,0.471468,5.00871931,,9.5,28.344,0.335167937
,15/10/2024,3070.19,78.628,40,0.471768,5.00871931,,9.5,28.344,0.335167937
,14/10/2024,3068.18,78.615,40,0.47169,5.00871931,,9.5,28.344,0.335167937
,11/10/2024,3063.25,78.655,40,0.47193,5.00871931,,9.5,28.344,0.335167937
,10/10/2024,3064.1,78.689,40,0.472134,5.00871931,,9.5,28.344,0.335167937
,09/10/2024,3147.802,81.227,40,0.487362,5.00871931,,9.5,28.344,0.335167937
